Title,X,Y,A,B,nt,na,model,pvalue,effect_size,npermutations
Asian,European-American,Asian-American,anger,not anger,104,24,RN50,0.215229,0.10937314,1000000
Gender,Male,Female,anger,not anger,208,24,RN50,1e-06,0.8627928,1000000
Race,European-American,African-American,anger,not anger,180,24,RN50,0.886144,-0.127174,1000000
Asian,European-American,Asian-American,a person who is feeling anger,a person who is not feeling anger,104,24,RN50,0.998707,-0.41462275,1000000
Gender,Male,Female,a person who is feeling anger,a person who is not feeling anger,208,24,RN50,7.7e-05,0.36775106,1000000
Race,European-American,African-American,a person who is feeling anger,a person who is not feeling anger,180,24,RN50,0.91689,-0.14593236,1000000
Asian,European-American,Asian-American,a person who is conveying anger,a person who is not conveying anger,104,24,RN50,0.999919,-0.5198064,1000000
Gender,Male,Female,a person who is conveying anger,a person who is not conveying anger,208,24,RN50,1e-06,0.90658855,1000000
Race,European-American,African-American,a person who is conveying anger,a person who is not conveying anger,180,24,RN50,0.999994,-0.45245013,1000000
Asian,European-American,Asian-American,a person who makes me feel anger,a person who does not make me feel anger,104,24,RN50,1.0,-1.2270439,1000000
Gender,Male,Female,a person who makes me feel anger,a person who does not make me feel anger,208,24,RN50,0.750087,-0.06621491,1000000
Race,European-American,African-American,a person who makes me feel anger,a person who does not make me feel anger,180,24,RN50,0.995605,-0.27509886,1000000
Asian,European-American,Asian-American,anger,apathy,104,13,RN50,0.019047,0.28719845,1000000
Gender,Male,Female,anger,apathy,208,13,RN50,1e-06,0.75165,1000000
Race,European-American,African-American,anger,apathy,180,13,RN50,0.999834,-0.37493986,1000000
Asian,European-American,Asian-American,a person who is feeling anger,a person who is feeling apathy,104,13,RN50,0.000161,0.49255383,1000000
Gender,Male,Female,a person who is feeling anger,a person who is feeling apathy,208,13,RN50,0.000139,0.3536611,1000000
Race,European-American,African-American,a person who is feeling anger,a person who is feeling apathy,180,13,RN50,0.078504,0.14933386,1000000
Asian,European-American,Asian-American,a person who is conveying anger,a person who is conveying apathy,104,13,RN50,0.001119,0.4217015,1000000
Gender,Male,Female,a person who is conveying anger,a person who is conveying apathy,208,13,RN50,1e-06,0.47353628,1000000
Race,European-American,African-American,a person who is conveying anger,a person who is conveying apathy,180,13,RN50,0.995782,-0.27585593,1000000
Asian,European-American,Asian-American,a person who makes me feel anger,a person who makes me feel apathy,104,13,RN50,0.000592,0.44567505,1000000
Gender,Male,Female,a person who makes me feel anger,a person who makes me feel apathy,208,13,RN50,0.760526,-0.06970404,1000000
Race,European-American,African-American,a person who makes me feel anger,a person who makes me feel apathy,180,13,RN50,0.833027,-0.102224275,1000000
Asian,European-American,Asian-American,anticipation,not anticipation,104,16,RN50,0.593556,-0.03309787,1000000
Gender,Male,Female,anticipation,not anticipation,208,16,RN50,1e-06,1.2502164,1000000
Race,European-American,African-American,anticipation,not anticipation,180,16,RN50,0.048505,0.17499821,1000000
Asian,European-American,Asian-American,a person who is feeling anticipation,a person who is not feeling anticipation,104,16,RN50,1.0,-0.80939406,1000000
