Title,X,Y,A,B,nt,na,model,pvalue,effect_size,npermutations
Asian,European-American,Asian-American,anger,not anger,120,24,RN50,0.996972,-0.35455528,1000000
Gender,Male,Female,anger,not anger,420,24,RN50,0.079604,0.09728872,1000000
Race,European-American,African-American,anger,not anger,120,24,RN50,0.746653,-0.08614486,1000000
Asian,European-American,Asian-American,a person who is feeling anger,a person who is not feeling anger,120,24,RN50,0.986061,-0.2830554,1000000
Gender,Male,Female,a person who is feeling anger,a person who is not feeling anger,420,24,RN50,0.999677,-0.23477031,1000000
Race,European-American,African-American,a person who is feeling anger,a person who is not feeling anger,120,24,RN50,0.780697,-0.10012481,1000000
Asian,European-American,Asian-American,a person who is conveying anger,a person who is not conveying anger,120,24,RN50,0.99782,-0.3655266,1000000
Gender,Male,Female,a person who is conveying anger,a person who is not conveying anger,420,24,RN50,1e-06,0.42247674,1000000
Race,European-American,African-American,a person who is conveying anger,a person who is not conveying anger,120,24,RN50,0.893457,-0.16118671,1000000
Asian,European-American,Asian-American,a person who makes me feel anger,a person who does not make me feel anger,120,24,RN50,0.982719,-0.2718745,1000000
Gender,Male,Female,a person who makes me feel anger,a person who does not make me feel anger,420,24,RN50,0.999982,-0.28221682,1000000
Race,European-American,African-American,a person who makes me feel anger,a person who does not make me feel anger,120,24,RN50,0.051254,0.21092644,1000000
Asian,European-American,Asian-American,anger,apathy,120,13,RN50,0.119629,0.15255156,1000000
Gender,Male,Female,anger,apathy,420,13,RN50,0.052735,0.11153921,1000000
Race,European-American,African-American,anger,apathy,120,13,RN50,0.480182,0.0063146744,1000000
Asian,European-American,Asian-American,a person who is feeling anger,a person who is feeling apathy,120,13,RN50,3e-06,0.570573,1000000
Gender,Male,Female,a person who is feeling anger,a person who is feeling apathy,420,13,RN50,0.002095,0.19709082,1000000
Race,European-American,African-American,a person who is feeling anger,a person who is feeling apathy,120,13,RN50,0.000554,0.4200379,1000000
Asian,European-American,Asian-American,a person who is conveying anger,a person who is conveying apathy,120,13,RN50,7e-06,0.55169845,1000000
Gender,Male,Female,a person who is conveying anger,a person who is conveying apathy,420,13,RN50,0.005506,0.17516974,1000000
Race,European-American,African-American,a person who is conveying anger,a person who is conveying apathy,120,13,RN50,0.011754,0.29173955,1000000
Asian,European-American,Asian-American,a person who makes me feel anger,a person who makes me feel apathy,120,13,RN50,0.000351,0.43593583,1000000
Gender,Male,Female,a person who makes me feel anger,a person who makes me feel apathy,420,13,RN50,0.25964,0.044409413,1000000
Race,European-American,African-American,a person who makes me feel anger,a person who makes me feel apathy,120,13,RN50,0.157149,0.130244,1000000
Asian,European-American,Asian-American,anticipation,not anticipation,120,16,RN50,0.999993,-0.545243,1000000
Gender,Male,Female,anticipation,not anticipation,420,16,RN50,0.244557,0.047845982,1000000
Race,European-American,African-American,anticipation,not anticipation,120,16,RN50,0.545442,-0.014789422,1000000
Asian,European-American,Asian-American,a person who is feeling anticipation,a person who is not feeling anticipation,120,16,RN50,0.999863,-0.4687707,1000000
Gender,Male,Female,a person who is feeling anticipation,a person who is not feeling anticipation,420,16,RN50,0.999848,-0.24784325,1000000
Race,European-American,African-American,a person who is feeling anticipation,a person who is not feeling anticipation,120,16,RN50,0.998305,-0.37551764,1000000
Asian,European-American,Asian-American,a person who is conveying anticipation,a person who is not conveying anticipation,120,16,RN50,0.999601,-0.42919865,1000000
Gender,Male,Female,a person who is conveying anticipation,a person who is not conveying anticipation,420,16,RN50,0.017433,0.14550643,1000000
Race,European-American,African-American,a person who is conveying anticipation,a person who is not conveying anticipation,120,16,RN50,0.999737,-0.44009894,1000000
Asian,European-American,Asian-American,a person who makes me feel anticipation,a person who does not make me feel anticipation,120,16,RN50,0.999728,-0.43970004,1000000
Gender,Male,Female,a person who makes me feel anticipation,a person who does not make me feel anticipation,420,16,RN50,0.999997,-0.30864877,1000000
Race,European-American,African-American,a person who makes me feel anticipation,a person who does not make me feel anticipation,120,16,RN50,0.48049,0.006475703,1000000
Asian,European-American,Asian-American,anticipation,apathy,120,13,RN50,0.873359,-0.14754862,1000000
Gender,Male,Female,anticipation,apathy,420,13,RN50,0.00295,0.18893884,1000000
Race,European-American,African-American,anticipation,apathy,120,13,RN50,0.428329,0.023350231,1000000
Asian,European-American,Asian-American,a person who is feeling anticipation,a person who is feeling apathy,120,13,RN50,0.001561,0.38133734,1000000
Gender,Male,Female,a person who is feeling anticipation,a person who is feeling apathy,420,13,RN50,0.006817,0.16929221,1000000
Race,European-American,African-American,a person who is feeling anticipation,a person who is feeling apathy,120,13,RN50,0.005954,0.32355708,1000000
Asian,European-American,Asian-American,a person who is conveying anticipation,a person who is conveying apathy,120,13,RN50,2e-06,0.5867521,1000000
Gender,Male,Female,a person who is conveying anticipation,a person who is conveying apathy,420,13,RN50,0.320169,0.03213997,1000000
Race,European-American,African-American,a person who is conveying anticipation,a person who is conveying apathy,120,13,RN50,0.001662,0.37643492,1000000
Asian,European-American,Asian-American,a person who makes me feel anticipation,a person who makes me feel apathy,120,13,RN50,2.3e-05,0.5293369,1000000
Gender,Male,Female,a person who makes me feel anticipation,a person who makes me feel apathy,420,13,RN50,0.105625,0.08622337,1000000
Race,European-American,African-American,a person who makes me feel anticipation,a person who makes me feel apathy,120,13,RN50,0.212725,0.10303345,1000000
Asian,European-American,Asian-American,disgust,not disgust,120,12,RN50,0.97787,-0.26012063,1000000
Gender,Male,Female,disgust,not disgust,420,12,RN50,1e-06,0.3210949,1000000
Race,European-American,African-American,disgust,not disgust,120,12,RN50,0.001852,0.37136078,1000000
Asian,European-American,Asian-American,a person who is feeling disgust,a person who is not feeling disgust,120,12,RN50,0.841496,-0.12968697,1000000
Gender,Male,Female,a person who is feeling disgust,a person who is not feeling disgust,420,12,RN50,0.999831,-0.24492136,1000000
Race,European-American,African-American,a person who is feeling disgust,a person who is not feeling disgust,120,12,RN50,0.792936,-0.105535604,1000000
Asian,European-American,Asian-American,a person who is conveying disgust,a person who is not conveying disgust,120,12,RN50,0.850622,-0.1347619,1000000
Gender,Male,Female,a person who is conveying disgust,a person who is not conveying disgust,420,12,RN50,1e-06,0.3471436,1000000
Race,European-American,African-American,a person who is conveying disgust,a person who is not conveying disgust,120,12,RN50,0.00594,0.32314113,1000000
Asian,European-American,Asian-American,a person who makes me feel disgust,a person who does not make me feel disgust,120,12,RN50,0.798503,-0.107943326,1000000
Gender,Male,Female,a person who makes me feel disgust,a person who does not make me feel disgust,420,12,RN50,0.997926,-0.19818331,1000000
Race,European-American,African-American,a person who makes me feel disgust,a person who does not make me feel disgust,120,12,RN50,0.002329,0.36463475,1000000
Asian,European-American,Asian-American,disgust,apathy,120,12,RN50,0.951686,-0.21486472,1000000
Gender,Male,Female,disgust,apathy,420,12,RN50,0.013327,0.15254764,1000000
Race,European-American,African-American,disgust,apathy,120,12,RN50,1e-06,0.5854835,1000000
Asian,European-American,Asian-American,a person who is feeling disgust,a person who is feeling apathy,120,12,RN50,0.045418,0.21865548,1000000
Gender,Male,Female,a person who is feeling disgust,a person who is feeling apathy,420,12,RN50,0.049877,0.11351666,1000000
Race,European-American,African-American,a person who is feeling disgust,a person who is feeling apathy,120,12,RN50,1e-06,0.62497634,1000000
Asian,European-American,Asian-American,a person who is conveying disgust,a person who is conveying apathy,120,12,RN50,2e-06,0.6175769,1000000
Gender,Male,Female,a person who is conveying disgust,a person who is conveying apathy,420,12,RN50,0.001089,0.21036974,1000000
Race,European-American,African-American,a person who is conveying disgust,a person who is conveying apathy,120,12,RN50,1e-06,0.9601571,1000000
Asian,European-American,Asian-American,a person who makes me feel disgust,a person who makes me feel apathy,120,12,RN50,6e-06,0.55814266,1000000
Gender,Male,Female,a person who makes me feel disgust,a person who makes me feel apathy,420,12,RN50,0.798264,-0.057741426,1000000
Race,European-American,African-American,a person who makes me feel disgust,a person who makes me feel apathy,120,12,RN50,1e-06,0.6397271,1000000
Asian,European-American,Asian-American,fear,not fear,120,34,RN50,0.994687,-0.33054674,1000000
Gender,Male,Female,fear,not fear,420,34,RN50,4e-06,0.3216992,1000000
