Target,X,Y,A,B,nt,na,Attribute,model,pvalue,effect_size,npermutations
Age,Young,Old,Pleasant,Unpleasant,6,55,Valence,RN50,0.5010822510822511,-0.0027992842,924
Arab-Muslim,Other-People,Arab-Muslim,Pleasant,Unpleasant,10,55,Valence,RN50,0.0066303665374872,0.9925562,184756
Asian,European-American,Asian-American,American,Foreign,6,6,Native,RN50,0.5638528138528138,-0.10364943,924
Asian,European-American,Asian-American,Pleasant,Unpleasant,6,55,Valence,RN50,0.5303030303030303,-0.03360176,924
Disabled,Disabled,Abled,Pleasant,Unpleasant,4,55,Valence,RN50,0.0571428571428571,1.2025642,70
Gender,Male,Female,Career,Family,40,21,Gender,RN50,0.001336,0.66095006,1000000
Gender,Male,Female,Pleasant,Unpleasant,40,55,Valence,RN50,0.998671,-0.6506743,1000000
Gender,Male,Female,Science,Liberal-Arts,40,21,Gender,RN50,0.95989,-0.39101782,1000000
Insect-Flower,Flower,Insect,Pleasant,Unpleasant,35,55,Valence,RN50,1e-06,1.8980243,1000000
Native,Euro,Native,US,World,8,5,Native,RN50,0.258041958041958,0.33766782,12870
Native,Euro,Native,Pleasant,Unpleasant,8,55,Valence,RN50,0.1198912198912199,0.601207,12870
Race,European-American,African-American,Pleasant,Unpleasant,6,55,Valence,RN50,0.0173160173160173,1.2334807,924
Religion,Christianity,Judaism,Pleasant,Unpleasant,7,55,Valence,RN50,0.4181235431235431,0.10981238,3432
Sexuality,Gay,Straight,Pleasant,Unpleasant,9,55,Valence,RN50,0.7364047716988893,-0.30616394,48620
Skin-Tone,Light,Dark,Pleasant,Unpleasant,7,55,Valence,RN50,0.8717948717948718,-0.644263,3432
Weapon,White,Black,Tool-modern,Weapon-modern,6,9,Weapon (Modern),RN50,0.4523809523809524,0.0847416,924
Weapon,White,Black,Pleasant,Unpleasant,6,55,Valence,RN50,0.1201298701298701,0.72003436,924
Weapon,White,Black,Tool,Weapon,6,7,Weapon,RN50,0.7229437229437229,-0.35812387,924
Weight,Thin,Fat,Pleasant,Unpleasant,10,55,Valence,RN50,0.0031825759379938,1.162173,184756
