Title,X,Y,A,B,nt,na,model,pvalue,effect_size,npermutations
Title,X,Y,A,B,nt,na,model,pvalue,effect_size,npermutations
Age,Young,Old,Pleasant,Unpleasant,6,55,RN50,0.012987012987012988,1.2013581,924
Arab-Muslim,Other-People,Arab-Muslim,Pleasant,Unpleasant,10,55,RN50,0.13153023447141093,0.50970906,184756
Disabled,Disabled,Abled,Pleasant,Unpleasant,4,55,RN50,0.7142857142857143,-0.39974177,70
Insect-Flower,Flower,Insect,Pleasant,Unpleasant,35,55,RN50,1e-06,1.8727126,1000000
Race,European-American,African-American,Pleasant,Unpleasant,6,55,RN50,0.9707792207792207,-1.0750165,924
Religion,Christianity,Judaism,Pleasant,Unpleasant,7,55,RN50,0.3318764568764569,0.23866361,3432
Sexuality,Gay,Straight,Pleasant,Unpleasant,9,55,RN50,0.782579185520362,-0.3813424,48620
Skin-Tone,Light,Dark,Pleasant,Unpleasant,7,55,RN50,0.4731934731934732,0.03708717,3432
Weight,Thin,Fat,Pleasant,Unpleasant,10,55,RN50,0.009834592651930114,1.013457,184756
Age,Young,Old,Pleasant,Unpleasant,6,55,RN101,0.2305194805194805,0.45016313,924
Arab-Muslim,Other-People,Arab-Muslim,Pleasant,Unpleasant,10,55,RN101,0.06460412652363116,0.6841256,184756
Disabled,Disabled,Abled,Pleasant,Unpleasant,4,55,RN101,0.6142857142857143,-0.44711193,70
Insect-Flower,Flower,Insect,Pleasant,Unpleasant,35,55,RN101,1e-06,1.848968,1000000
Race,European-American,African-American,Pleasant,Unpleasant,6,55,RN101,0.9924242424242424,-1.2878944,924
Religion,Christianity,Judaism,Pleasant,Unpleasant,7,55,RN101,0.17191142191142192,0.5205841,3432
Sexuality,Gay,Straight,Pleasant,Unpleasant,9,55,RN101,0.653599341834636,-0.19387384,48620
Skin-Tone,Light,Dark,Pleasant,Unpleasant,7,55,RN101,0.7400932400932401,-0.3583863,3432
Weight,Thin,Fat,Pleasant,Unpleasant,10,55,RN101,0.0006332676611314382,1.3384552,184756
Age,Young,Old,Pleasant,Unpleasant,6,55,RN50x4,0.5140692640692641,-0.019218527,924
Arab-Muslim,Other-People,Arab-Muslim,Pleasant,Unpleasant,10,55,RN50x4,0.041508800796726496,0.77570003,184756
Disabled,Disabled,Abled,Pleasant,Unpleasant,4,55,RN50x4,0.11428571428571428,0.8856612,70
Insect-Flower,Flower,Insect,Pleasant,Unpleasant,35,55,RN50x4,1e-06,1.861847,1000000
Race,European-American,African-American,Pleasant,Unpleasant,6,55,RN50x4,0.8625541125541125,-0.6471752,924
Religion,Christianity,Judaism,Pleasant,Unpleasant,7,55,RN50x4,0.09731934731934731,0.7085703,3432
Sexuality,Gay,Straight,Pleasant,Unpleasant,9,55,RN50x4,0.4939531057178116,0.0075542494,48620
