weat_num,X,Y,A,B,nt,na,model,effect_size,p_value,npermutations
1,Flowers,Insects,Pleasant,Unpleasant,25,25,RN50,1.3060730695724487,1e-05,100000.0
2,Instruments,Weapons,Pleasant,Unpleasant,25,25,RN50,0.7278668880462646,0.00454,100000.0
3,EA names,AA names,Pleasant,Unpleasant,32,25,RN50,-0.364796906709671,0.92496,100000.0
4,EA names,AA names,Pleasant,Unpleasant,16,25,RN50,-0.4621471166610718,0.90157,100000.0
5,EA names,AA names,Pleasant,Unpleasant,16,8,RN50,-0.5457454323768616,0.93721,100000.0
6,Male names,Female names,Career,Family,8,8,RN50,0.0394748076796531,0.4698523698523698,100000.0
7,Math,Arts,Male,Female,8,8,RN50,0.2241647839546203,0.3327117327117327,100000.0
8,Science,Arts,Male,Female,8,8,RN50,0.2447455376386642,0.3241647241647241,100000.0
9,Mental,Physical disease,Temporary,Permanent,6,7,RN50,0.3910813927650451,0.2521645021645021,100000.0
10,Young,Old,Pleasant,Unpleasant,8,8,RN50,0.1873420923948288,0.3622377622377622,100000.0
1,Flowers,Insects,Pleasant,Unpleasant,25,25,RN101,0.9941514730453492,6e-05,100000.0
2,Instruments,Weapons,Pleasant,Unpleasant,25,25,RN101,0.995830237865448,9e-05,100000.0
3,EA names,AA names,Pleasant,Unpleasant,32,25,RN101,-0.1544491201639175,0.72061,100000.0
4,EA names,AA names,Pleasant,Unpleasant,16,25,RN101,-0.9530752301216124,0.99706,100000.0
5,EA names,AA names,Pleasant,Unpleasant,16,8,RN101,-0.7524021863937378,0.98379,100000.0
6,Male names,Female names,Career,Family,8,8,RN101,0.6966637969017029,0.0857031857031857,100000.0
7,Math,Arts,Male,Female,8,8,RN101,-0.6559310555458069,0.9015540015540016,100000.0
8,Science,Arts,Male,Female,8,8,RN101,-0.1725787669420242,0.6295260295260295,100000.0
9,Mental,Physical disease,Temporary,Permanent,6,7,RN101,0.0936598628759384,0.4383116883116883,100000.0
10,Young,Old,Pleasant,Unpleasant,8,8,RN101,0.9670211672782898,0.024087024087024,100000.0
1,Flowers,Insects,Pleasant,Unpleasant,25,25,RN50x4,1.2201790809631348,1e-05,100000.0
2,Instruments,Weapons,Pleasant,Unpleasant,25,25,RN50x4,0.8422102928161621,0.00085,100000.0
3,EA names,AA names,Pleasant,Unpleasant,32,25,RN50x4,0.3094465732574463,0.11646,100000.0
4,EA names,AA names,Pleasant,Unpleasant,16,25,RN50x4,-0.4792327284812927,0.91027,100000.0
5,EA names,AA names,Pleasant,Unpleasant,16,8,RN50x4,-0.2559837698936462,0.76094,100000.0
6,Male names,Female names,Career,Family,8,8,RN50x4,0.3547525107860565,0.2506604506604507,100000.0
7,Math,Arts,Male,Female,8,8,RN50x4,-0.8829957246780396,0.9617715617715618,100000.0
8,Science,Arts,Male,Female,8,8,RN50x4,-0.2621489465236664,0.6910644910644911,100000.0
9,Mental,Physical disease,Temporary,Permanent,6,7,RN50x4,-0.0220048427581787,0.5183982683982684,100000.0
10,Young,Old,Pleasant,Unpleasant,8,8,RN50x4,0.8511568307876587,0.0446775446775446,100000.0
1,Flowers,Insects,Pleasant,Unpleasant,25,25,RN50x16,1.1152266263961792,1e-05,100000.0
2,Instruments,Weapons,Pleasant,Unpleasant,25,25,RN50x16,1.1696912050247192,2e-05,100000.0
3,EA names,AA names,Pleasant,Unpleasant,32,25,RN50x16,0.6009438633918762,0.00757,100000.0
4,EA names,AA names,Pleasant,Unpleasant,16,25,RN50x16,-0.0496947914361953,0.55451,100000.0
5,EA names,AA names,Pleasant,Unpleasant,16,8,RN50x16,0.1164531633257865,0.37367,100000.0
