Title,A,B,na,w,word,template,model,association_score,npermutations,p
Asian,European-American,Asian-American,104,This is a root.,root,This is a {}.,RN50,-0.765765,10000,1.0
Gender,Male,Female,208,This is a root.,root,This is a {}.,RN50,0.13991636,10000,0.0769
Race,European-American,African-American,180,This is a root.,root,This is a {}.,RN50,-0.07639583,10000,0.7647
Asian,European-American,Asian-American,104,That is a root.,root,That is a {}.,RN50,-0.19590612,10000,0.9186
Gender,Male,Female,208,That is a root.,root,That is a {}.,RN50,-0.029682385,10000,0.6278
Race,European-American,African-American,180,That is a root.,root,That is a {}.,RN50,0.2956748,10000,0.0027
Asian,European-American,Asian-American,104,There is a root.,root,There is a {}.,RN50,-0.76815516,10000,1.0
Gender,Male,Female,208,There is a root.,root,There is a {}.,RN50,0.2667166,10000,0.0035
Race,European-American,African-American,180,There is a root.,root,There is a {}.,RN50,0.41482818,10000,0.0001
Asian,European-American,Asian-American,104,Here is a root.,root,Here is a {}.,RN50,-0.409598,10000,0.9986
Gender,Male,Female,208,Here is a root.,root,Here is a {}.,RN50,0.32073885,10000,0.0007
Race,European-American,African-American,180,Here is a root.,root,Here is a {}.,RN50,0.26159543,10000,0.0077
Asian,European-American,Asian-American,104,The root is here.,root,The {} is here.,RN50,-0.9202245,10000,1.0
Gender,Male,Female,208,The root is here.,root,The {} is here.,RN50,0.49392667,10000,0.0001
Race,European-American,African-American,180,The root is here.,root,The {} is here.,RN50,-1.1480588,10000,1.0
Asian,European-American,Asian-American,104,The root is there.,root,The {} is there.,RN50,-0.85195655,10000,1.0
Gender,Male,Female,208,The root is there.,root,The {} is there.,RN50,0.7291954,10000,0.0001
Race,European-American,African-American,180,The root is there.,root,The {} is there.,RN50,-0.46183446,10000,0.9999
Asian,European-American,Asian-American,104,A root is a thing.,root,A {} is a thing.,RN50,-0.43591183,10000,0.9993
Gender,Male,Female,208,A root is a thing.,root,A {} is a thing.,RN50,0.21764371,10000,0.013
Race,European-American,African-American,180,A root is a thing.,root,A {} is a thing.,RN50,0.38712212,10000,0.0002
Asian,European-American,Asian-American,104,It is a root.,root,It is a {}.,RN50,-1.107782,10000,1.0
Gender,Male,Female,208,It is a root.,root,It is a {}.,RN50,0.36968935,10000,0.0003
Race,European-American,African-American,180,It is a root.,root,It is a {}.,RN50,0.16641529,10000,0.0585
Asian,European-American,Asian-American,104,These are roots.,root,These are {}.,RN50,-0.89466476,10000,1.0
Gender,Male,Female,208,These are roots.,root,These are {}.,RN50,0.8938836,10000,0.0001
Race,European-American,African-American,180,These are roots.,root,These are {}.,RN50,-0.36769593,10000,0.9998
Asian,European-American,Asian-American,104,Those are roots.,root,Those are {}.,RN50,-0.68440187,10000,1.0
Gender,Male,Female,208,Those are roots.,root,Those are {}.,RN50,0.03349585,10000,0.3681
Race,European-American,African-American,180,Those are roots.,root,Those are {}.,RN50,0.12019907,10000,0.1293
Asian,European-American,Asian-American,104,They are roots.,root,They are {}.,RN50,-0.6751014,10000,1.0
Gender,Male,Female,208,They are roots.,root,They are {}.,RN50,0.832639,10000,0.0001
Race,European-American,African-American,180,They are roots.,root,They are {}.,RN50,0.17462747,10000,0.0508
Asian,European-American,Asian-American,104,The roots are here.,root,The {} are here.,RN50,-0.38778633,10000,0.9972
Gender,Male,Female,208,The roots are here.,root,The {} are here.,RN50,0.6050084,10000,0.0001
Race,European-American,African-American,180,The roots are here.,root,The {} are here.,RN50,-1.3792931,10000,1.0
Asian,European-American,Asian-American,104,The roots are there.,root,The {} are there.,RN50,-0.54143727,10000,0.9999
Gender,Male,Female,208,The roots are there.,root,The {} are there.,RN50,1.0281786,10000,0.0001
